Word,Frequency,Belonging,Score
ship,4794,799,3830406
details,3995,799,3192005
price,3655,799,2920345
total,3655,799,2920345
name,3196,799,2553604
order,2397,799,1915203
id,2397,799,1915203
customer,2397,799,1915203
shipper,2397,799,1915203
product,2057,799,1643543
quantity,2057,799,1643543
unit,2057,799,1643543
employee,1598,799,1276802
date,1598,799,1276802
shipping,1044,799,834156
city,804,799,642396
address,799,799,638401
region,799,799,638401
postal,799,799,638401
code,799,799,638401
country,799,799,638401
shipped,799,799,638401
products,799,799,638401
0,2783,740,2059420
2,610,442,269620
2017,795,411,326745
europe,394,390,153660
10,472,335,158120
5,594,327,194238
3,360,315,113400
united,311,311,96721
package,311,311,96721
america,308,308,94864
12,416,301,125216
20,323,281,90763
1,296,272,80512
western,267,267,71289
2018,512,266,136192
8,346,257,88922
30,292,246,71832
federal,245,245,60025
speedy,243,243,59049
express,243,243,59049
6,315,241,75915
15,285,230,65550
4,296,225,66600
s,276,223,61548
18,244,216,52704
14,214,186,39804
25,238,185,44030
9,217,178,38626
04,255,177,45135
03,262,174,45588
7,204,172,35088
24,190,169,32110
21,188,162,30456
01,230,160,36800
02,220,156,34320
2016,293,151,44243
north,153,150,22950
margaret,148,148,21904
peacock,148,148,21904
south,146,140,20440
11,192,137,26304
19,145,137,19865
09,183,134,24522
16,135,126,17010
janet,126,126,15876
leverling,126,126,15876
05,164,120,19680
germany,119,119,14161
40,130,118,15340
nancy,118,118,13924
davolio,118,118,13924
usa,118,118,13924
08,160,114,18240
35,131,114,14934
45,130,112,14560
23,117,112,13104
13,115,112,12880
de,127,111,14097
07,143,104,14872
22,110,100,11000
laura,98,98,9604
callahan,98,98,9604
17,102,97,9894
28,103,94,9682
andrew,92,92,8464
fuller,92,92,8464
06,115,89,10235
31,91,89,8099
di,88,87,7656
27,90,84,7560
alice,86,82,7052
brazil,81,81,6561
50,84,80,6720
26,81,77,6237
king,77,75,5775
france,80,74,5920
rue,74,74,5476
75,89,73,6497
british,73,73,5329
