Word,Frequency,Belonging,Score
id,2481,827,2051787
product,2481,827,2051787
order,1654,827,1367858
customer,1654,827,1367858
details,1654,827,1367858
name,1654,827,1367858
1,985,827,814595
city,832,827,688064
invoice,828,827,684756
page,828,827,684756
date,827,827,683929
contact,827,827,683929
address,827,827,683929
postal,827,827,683929
code,827,827,683929
country,827,827,683929
phone,827,827,683929
fax,827,827,683929
quantity,827,827,683929
unit,827,827,683929
price,827,827,683929
totalprice,827,827,683929
0,1360,676,919360
2017,405,405,164025
10,460,355,163300
5,528,348,183744
555,545,343,186935
12,401,314,125914
20,355,294,104370
8,347,273,94731
2018,272,272,73984
none,257,257,66049
30,307,252,77364
2,328,246,80688
6,305,245,74725
15,311,242,75262
4,292,240,70080
21,311,239,74329
24,262,215,56330
18,239,212,50668
s,237,209,49533
7,229,198,45342
9,247,191,47177
11,217,185,40145
25,228,183,41724
14,211,183,38613
40,197,166,32702
19,159,154,24486
2016,152,152,23104
35,168,150,25200
45,176,141,24816
16,164,141,23124
31,148,136,20128
34,177,133,23541
13,135,130,17550
04,132,130,17160
03,133,128,17024
22,147,127,18669
17,132,124,16368
usa,122,122,14884
germany,121,121,14641
60,140,117,16380
de,134,117,15678
01,121,116,14036
23,131,115,15065
3,129,115,14835
02,123,111,13653
28,117,108,12636
65,111,106,11766
26,111,93,10323
67,129,91,11739
05,102,91,9282
09,91,87,7917
di,88,87,7656
36,95,86,8170
50,91,86,7826
32,108,83,8964
55,90,83,7470
alice,87,83,7221
38,86,82,7052
brazil,82,82,6724
07,89,81,7209
43,84,81,6804
rue,77,77,5929
france,77,77,5929
08,78,76,5928
56,73,73,5329
33,74,70,5180
39,71,70,4970
62,70,69,4830
27,72,67,4824
70,68,67,4556
dried,68,67,4556
49,64,64,4096
75,101,63,6363
59,67,63,4221
41,64,63,4032
29,63,62,3906
06,62,60,3720
ave,60,60,3600
53,60,59,3540
42,58,57,3306
77,70,56,3920
44,58,56,3248
uk,56,56,3136
sir,55,55,3025
rodney,55,55,3025
raclette,54,54,2916
courdavault,54,54,2916
queso,52,52,2704
d,52,52,2704
guaraná,51,51,2601
fantástica,51,51,2601
gorgonzola,51,51,2601
telino,51,51,2601
camembert,51,51,2601
pierrot,51,51,2601
gnocchi,50,50,2500
nonna,50,50,2500
54,60,49,2940
lager,49,49,2401
tarte,48,48,2304
au,48,48,2304
sucre,48,48,2304
giovanni,48,47,2256
jack,47,47,2209
new,47,47,2209
england,47,47,2209
clam,47,47,2209
chowder,47,47,2209
171,82,46,3772
46,47,46,2162
london,46,46,2116
venezuela,46,46,2116
68,47,45,2115
rhönbräu,45,45,2025
klosterbier,45,45,2025
sauce,45,45,2025
52,45,44,1980
57,44,43,1892
chang,43,43,1849
pavlova,43,43,1849
71,42,42,1764
flotemysost,42,42,1764
boston,41,41,1681
crab,41,41,1681
meat,41,41,1681
76,41,41,1681
konbu,40,40,1600
austria,40,40,1600
89,44,39,1716
louisiana,40,39,1560
hot,40,39,1560
outback,39,39,1521
51,39,39,1521
manjimup,39,39,1521
apples,39,39,1521
72,39,39,1521
rua,39,39,1521
lakkalikööri,39,39,1521
mix,39,39,1521
scones,39,39,1521
61,80,38,3040
original,38,38,1444
frankfurter,38,38,1444
grüne,38,38,1444
soße,38,38,1444
cabrales,38,38,1444
mozzarella,38,38,1444
chai,38,38,1444
123,42,37,1554
teatime,37,37,1369
chocolate,37,37,1369
biscuits,37,37,1369
mutton,37,37,1369
47,45,36,1620
anton,37,36,1332
sweden,36,36,1296
tourtière,36,36,1296
steeleye,36,36,1296
stout,36,36,1296
st,35,35,1225
tofu,35,35,1225
av,35,35,1225
64,35,35,1225
90,41,34,1394
pâté,33,33,1089
chinois,33,33,1089
rössle,33,33,1089
sauerkraut,33,33,1089
rio,33,33,1089
janeiro,33,33,1089
ikura,33,33,1089
carlos,50,32,1600
carrera,32,32,1024
con,32,32,1024
187,32,32,1024
scottish,32,32,1024
longbreads,32,32,1024
nord,32,32,1024
ost,32,32,1024
matjeshering,32,32,1024
gumbär,32,32,1024
gummibärchen,32,32,1024
