Word,Frequency,Belonging,Score
order,1654,827,1367858
id,1654,827,1367858
product,1654,827,1367858
1,891,827,736857
purchase,828,827,684756
orders,828,827,684756
page,828,827,684756
date,827,827,683929
customer,827,827,683929
name,827,827,683929
products,827,827,683929
quantity,827,827,683929
unit,827,827,683929
price,827,827,683929
2017,405,405,164025
10,396,319,126324
5,347,282,97854
20,322,280,90160
2018,270,270,72900
12,303,260,78780
30,298,248,73904
15,278,226,62828
2,280,219,61320
4,257,218,56026
18,238,212,50456
6,243,203,49329
8,222,195,43290
9,204,176,35904
7,201,176,35376
25,212,174,36888
21,199,171,34029
s,186,170,31620
24,184,170,31280
14,193,167,32231
19,159,154,24486
2016,152,152,23104
40,161,143,23023
16,149,136,20264
11,145,130,18850
04,131,129,16899
03,132,127,16764
13,128,123,15744
31,123,121,14883
17,127,119,15113
35,121,115,13915
3,119,109,12971
01,114,109,12426
45,115,108,12420
02,110,107,11770
28,115,106,12190
60,109,102,11118
05,96,87,8352
09,91,87,7917
di,87,86,7482
36,94,85,7990
50,90,85,7650
alice,86,82,7052
26,87,81,7047
23,82,80,6560
34,79,78,6162
08,79,77,6083
07,77,75,5775
55,77,74,5698
65,76,73,5548
39,71,70,4970
62,69,68,4692
27,72,67,4824
38,68,66,4488
dried,67,66,4422
70,67,66,4422
49,62,62,3844
06,63,61,3843
53,60,59,3540
42,57,56,3192
22,58,55,3190
sir,55,55,3025
rodney,55,55,3025
29,55,54,2970
59,54,54,2916
raclette,54,54,2916
courdavault,54,54,2916
33,54,52,2808
56,52,52,2704
queso,52,52,2704
gorgonzola,51,51,2601
telino,51,51,2601
guaraná,51,51,2601
fantástica,51,51,2601
camembert,51,51,2601
pierrot,51,51,2601
75,85,50,4250
lager,49,49,2401
gnocchi,49,49,2401
nonna,49,49,2401
tarte,48,48,2304
au,48,48,2304
sucre,48,48,2304
giovanni,48,47,2256
41,47,47,2209
jack,47,47,2209
new,47,47,2209
england,47,47,2209
clam,47,47,2209
chowder,47,47,2209
de,47,47,2209
rhönbräu,46,46,2116
klosterbier,46,46,2116
46,46,45,2070
sauce,45,45,2025
44,46,44,2024
chang,44,44,1936
43,45,43,1935
pavlova,43,43,1849
71,42,42,1764
flotemysost,42,42,1764
77,42,42,1764
32,52,40,2080
konbu,40,40,1600
boston,40,40,1600
crab,40,40,1600
meat,40,40,1600
louisiana,40,39,1560
hot,40,39,1560
mix,39,39,1521
scones,39,39,1521
51,39,39,1521
manjimup,39,39,1521
apples,39,39,1521
outback,39,39,1521
76,39,39,1521
lakkalikööri,39,39,1521
72,38,38,1444
mozzarella,38,38,1444
chai,38,38,1444
cabrales,38,38,1444
original,38,38,1444
frankfurter,38,38,1444
grüne,38,38,1444
soße,38,38,1444
54,37,37,1369
mutton,37,37,1369
teatime,36,36,1296
chocolate,36,36,1296
biscuits,36,36,1296
steeleye,36,36,1296
stout,36,36,1296
tourtière,36,36,1296
tofu,35,35,1225
64,35,35,1225
68,33,33,1089
scottish,33,33,1089
longbreads,33,33,1089
rössle,33,33,1089
sauerkraut,33,33,1089
pâté,33,33,1089
chinois,33,33,1089
ikura,33,33,1089
carlos,32,32,1024
geitost,32,32,1024
fiery,32,32,1024
pepper,32,32,1024
gumbär,32,32,1024
gummibärchen,32,32,1024
nord,32,32,1024
ost,32,32,1024
matjeshering,32,32,1024
thüringer,32,32,1024
rostbratwurst,32,32,1024
inlagd,31,31,961
sill,31,31,961
69,31,31,961
gudbrandsdalsost,31,31,961
52,30,30,900
chartreuse,30,30,900
verte,30,30,900
wimmers,30,30,900
gute,30,30,900
semmelknödel,30,30,900
roland,30,30,900
mendel,30,30,900
jose,30,30,900
pavarotti,30,30,900
perth,30,30,900
pasties,30,30,900
chef,30,29,870
anton,30,29,870
singaporean,29,29,841
hokkien,29,29,841
fried,29,29,841
mee,29,29,841
filo,29,29,841
spread,29,29,841
uncle,28,28,784
bob,28,28,784
organic,28,28,784
pears,28,28,784
ipoh,28,28,784
coffee,28,28,784
horst,28,28,784
kloss,28,28,784
carnarvon,27,27,729
tigers,27,27,729
spegesild,27,27,729
paula,27,27,729
wilson,26,26,676
maria,25,25,625
gula,24,24,576
malacca,24,24,576
côte,24,24,576
blaye,24,24,576
61,24,24,576
sirop,24,24,576
d,24,24,576
érable,24,24,576
57,23,23,529
ravioli,23,23,529
angelo,23,23,529
89,22,22,484
123,22,22,484
79,22,22,484
maxilaku,21,21,441
47,21,21,441
zaanse,21,21,441
koeken,21,21,441
cajun,20,20,400
seasoning,20,20,400
patricia,19,19,361
mckenna,19,19,361
tunnbröd,19,19,361
larsson,19,19,361
sasquatch,19,19,361
ale,19,19,361
hernández,18,18,324
nunuca,18,18,324
nuß,18,18,324
nougat,18,18,324
creme,18,18,324
christina,18,18,324
berglund,18,18,324
58,18,18,324
escargots,18,18,324
bourgogne,18,18,324
63,18,18,324
elizabeth,17,17,289
laurence,17,17,289
lebihan,17,17,289
vegie,17,17,289
263,16,16,256
80,16,16,256
marmalade,16,16,256
mascarpone,15,15,225
fabioli,15,15,225
pedro,15,15,225
renate,15,15,225
messner,15,15,225
pirkko,15,15,225
koskitalo,15,15,225
peter,15,15,225
franken,15,15,225
rogede,14,14,196
sild,14,14,196
mario,14,14,196
pontes,14,14,196
73,14,14,196
röd,14,14,196
kaviar,14,14,196
lincoln,14,14,196
manchego,14,14,196
la,14,14,196
pastora,14,14,196
philip,14,14,196
cramer,14,14,196
karl,14,14,196
jablonski,14,14,196
gustaf,14,14,196
knäckebröd,14,14,196
gonzález,14,14,196
annette,14,14,196
roulet,14,14,196
northwoods,13,13,169
cranberry,13,13,169
jean,13,13,169
fresnière,13,13,169
thomas,13,13,169
hardy,13,13,169
74,13,13,169
longlife,13,13,169
lúcia,13,13,169
carvalho,13,13,169
felipe,12,12,144
izquierdo,12,12,144
grandma,12,12,144
boysenberry,12,12,144
maurizio,12,12,144
moroni,12,12,144
aniseed,12,12,144
syrup,12,12,144
howard,11,11,121
snyder,11,11,121
palle,11,11,121
ibsen,11,11,121
frédérique,11,11,121
citeaux,11,11,121
48,11,11,121
81,11,11,121
pascale,11,11,121
cartrain,11,11,121
janete,11,11,121
limeira,11,11,121
rene,10,10,100
phillips,10,10,100
rita,10,10,100
müller,10,10,100
michael,10,10,100
holz,10,10,100
valkoinen,10,10,100
suklaa,10,10,100
rovelli,10,10,100
josé,10,10,100
freyre,10,10,100
67,10,10,100
laughing,10,10,100
lumberjack,10,10,100
miguel,10,10,100
angel,10,10,100
paolino,10,10,100
helen,10,10,100
bennett,10,10,100
gumbo,10,10,100
99,10,10,100
victoria,10,10,100
ashworth,10,10,100
georg,10,10,100
pipps,10,10,100
mary,10,10,100
saveley,10,10,100
100,10,9,90
hari,9,9,81
kumar,9,9,81
bernardo,9,9,81
batista,9,9,81
henriette,9,9,81
pfalzheim,9,9,81
andré,9,9,81
fonseca,9,9,81
art,9,9,81
braunschweiger,9,9,81
66,9,9,81
schoggi,9,9,81
schokolade,9,9,81
parente,9,9,81
yang,8,8,64
wang,8,8,64
lino,8,8,64
rodriguez,8,8,64
yoshi,8,8,64
ann,8,8,64
devon,8,8,64
120,8,8,64
210,8,8,64
spiced,8,8,64
okra,8,8,64
fran,8,8,64
catherine,7,7,49
dewey,7,7,49
hanna,7,7,49
moos,7,7,49
matti,7,7,49
karttunen,7,7,49
jytte,7,7,49
petersen,7,7,49
antonio,7,7,49
moreno,7,7,49
aria,7,7,49
cruz,7,7,49
zbyszek,7,7,49
piestrzeniewicz,7,7,49
karin,6,6,36
josephs,6,6,36
anabela,6,6,36
domingues,6,6,36
patricio,6,6,36
simpson,6,6,36
jonas,6,6,36
bergulfsen,6,6,36
paolo,6,6,36
accorti,6,6,36
anders,6,6,36
37,6,6,36
gravad,6,6,36
lax,6,6,36
chocolade,6,6,36
guillermo,6,6,36
fernández,6,6,36
sven,6,6,36
ottlieb,6,6,36
genen,6,6,36
shouyu,6,6,36
latimer,5,5,25
yvonne,5,5,25
moncada,5,5,25
alexander,5,5,25
feuer,5,5,25
alejandra,5,5,25
camino,5,5,25
mishi,5,5,25
kobe,5,5,25
niku,5,5,25
martine,5,5,25
rancé,5,5,25
eduardo,5,5,25
saavedra,5,5,25
isabel,5,5,25
castro,5,5,25
sergio,5,5,25
gutiérrez,5,5,25
paul,5,5,25
henriot,5,5,25
afonso,5,5,25
ana,4,4,16
trujillo,4,4,16
janine,4,4,16
labrune,4,4,16
liz,4,4,16
nixon,4,4,16
97,4,4,16
90,4,4,16
dominique,4,4,16
perrier,4,4,16
jaime,4,4,16
yorres,4,4,16
daniel,4,4,16
tonini,4,4,16
helvetius,3,3,9
nagy,3,3,9
martín,3,3,9
sommer,3,3,9
110,3,3,9
simon,3,3,9
crowther,3,3,9
tannamuri,3,3,9
brown,3,3,9
liu,3,3,9
wong,3,3,9
carine,3,3,9
schmitt,3,3,9
john,2,2,4
steel,2,2,4
130,2,2,4
84,2,2,4
manuel,2,2,4
pereira,2,2,4
10892,1,1,1
10680,1,1,1
10446,1,1,1
10954,1,1,1
10731,1,1,1
10589,1,1,1
10613,1,1,1
10632,1,1,1
10551,1,1,1
10547,1,1,1
10503,1,1,1
10645,1,1,1
10308,1,1,1
10751,1,1,1
10830,1,1,1
10600,1,1,1
10987,1,1,1
10647,1,1,1
10521,1,1,1
11039,1,1,1
10668,1,1,1
10796,1,1,1
10582,1,1,1
10431,1,1,1
10490,1,1,1
10784,1,1,1
10667,1,1,1
10580,1,1,1
10744,1,1,1
10931,1,1,1
10464,1,1,1
10898,1,1,1
10940,1,1,1
10510,1,1,1
10706,1,1,1
10452,1,1,1
10822,1,1,1
10945,1,1,1
10616,1,1,1
10679,1,1,1
10840,1,1,1
10288,1,1,1
10695,1,1,1
10873,1,1,1
10911,1,1,1
10609,1,1,1
11069,1,1,1
10309,1,1,1
10683,1,1,1
10411,1,1,1
10468,1,1,1
10621,1,1,1
10549,1,1,1
10715,1,1,1
10842,1,1,1
10778,1,1,1
11070,1,1,1
10273,1,1,1
11015,1,1,1
10862,1,1,1
10373,1,1,1
10281,1,1,1
10926,1,1,1
10826,1,1,1
10554,1,1,1
10818,1,1,1
10880,1,1,1
10404,1,1,1
10321,1,1,1
10925,1,1,1
10258,1,1,1
10886,1,1,1
10361,1,1,1
10829,1,1,1
11060,1,1,1
10652,1,1,1
10533,1,1,1
10595,1,1,1
10444,1,1,1
10921,1,1,1
10424,1,1,1
10388,1,1,1
10596,1,1,1
10864,1,1,1
10692,1,1,1
10390,1,1,1
10349,1,1,1
10545,1,1,1
10382,1,1,1
11016,1,1,1
10708,1,1,1
11077,1,1,1
10750,1,1,1
10992,1,1,1
10618,1,1,1
10341,1,1,1
10698,1,1,1
10687,1,1,1
10297,1,1,1
10655,1,1,1
10710,1,1,1
10337,1,1,1
10947,1,1,1
10455,1,1,1
11072,1,1,1
10983,1,1,1
10788,1,1,1
10901,1,1,1
10408,1,1,1
10515,1,1,1
10346,1,1,1
10524,1,1,1
10340,1,1,1
10530,1,1,1
10635,1,1,1
10459,1,1,1
10846,1,1,1
10507,1,1,1
11058,1,1,1
10313,1,1,1
10428,1,1,1
11041,1,1,1
10761,1,1,1
10660,1,1,1
10678,1,1,1
10874,1,1,1
10725,1,1,1
11026,1,1,1
10287,1,1,1
10835,1,1,1
11052,1,1,1
10938,1,1,1
10975,1,1,1
10483,1,1,1
10256,1,1,1
10928,1,1,1
10879,1,1,1
10690,1,1,1
10811,1,1,1
10919,1,1,1
10314,1,1,1
10406,1,1,1
10253,1,1,1
10755,1,1,1
10561,1,1,1
10984,1,1,1
10544,1,1,1
10625,1,1,1
10857,1,1,1
10593,1,1,1
10807,1,1,1
10855,1,1,1
10501,1,1,1
10988,1,1,1
10970,1,1,1
10264,1,1,1
10823,1,1,1
10732,1,1,1
10516,1,1,1
10967,1,1,1
10978,1,1,1
11007,1,1,1
11017,1,1,1
10853,1,1,1
10776,1,1,1
10403,1,1,1
10768,1,1,1
10646,1,1,1
10653,1,1,1
11027,1,1,1
10851,1,1,1
10512,1,1,1
10779,1,1,1
10307,1,1,1
10724,1,1,1
10752,1,1,1
10372,1,1,1
11046,1,1,1
10303,1,1,1
10839,1,1,1
10644,1,1,1
11075,1,1,1
10740,1,1,1
10659,1,1,1
11033,1,1,1
10420,1,1,1
11073,1,1,1
10965,1,1,1
10552,1,1,1
10252,1,1,1
10571,1,1,1
10355,1,1,1
10473,1,1,1
10456,1,1,1
10433,1,1,1
10825,1,1,1
10962,1,1,1
10304,1,1,1
10718,1,1,1
10712,1,1,1
10689,1,1,1
10758,1,1,1
10769,1,1,1
11005,1,1,1
11023,1,1,1
10546,1,1,1
10461,1,1,1
10470,1,1,1
10955,1,1,1
10953,1,1,1
11065,1,1,1
10467,1,1,1
10564,1,1,1
10537,1,1,1
10627,1,1,1
10612,1,1,1
10541,1,1,1
10630,1,1,1
10909,1,1,1
10448,1,1,1
10291,1,1,1
10952,1,1,1
11048,1,1,1
10824,1,1,1
10401,1,1,1
10804,1,1,1
10300,1,1,1
10903,1,1,1
10746,1,1,1
10803,1,1,1
10282,1,1,1
10908,1,1,1
11006,1,1,1
10717,1,1,1
10591,1,1,1
10742,1,1,1
10817,1,1,1
10528,1,1,1
10367,1,1,1
11047,1,1,1
10998,1,1,1
10663,1,1,1
10895,1,1,1
91,1,1,1
10936,1,1,1
10298,1,1,1
10578,1,1,1
10410,1,1,1
10657,1,1,1
10727,1,1,1
11049,1,1,1
10267,1,1,1
11028,1,1,1
10643,1,1,1
11036,1,1,1
10289,1,1,1
10419,1,1,1
10694,1,1,1
10539,1,1,1
10757,1,1,1
10623,1,1,1
10601,1,1,1
10787,1,1,1
10358,1,1,1
10316,1,1,1
10487,1,1,1
10999,1,1,1
10789,1,1,1
10958,1,1,1
10805,1,1,1
10865,1,1,1
10641,1,1,1
10572,1,1,1
10347,1,1,1
10721,1,1,1
10637,1,1,1
10786,1,1,1
10841,1,1,1
10734,1,1,1
10412,1,1,1
10930,1,1,1
10982,1,1,1
10384,1,1,1
10527,1,1,1
10603,1,1,1
10810,1,1,1
10458,1,1,1
10271,1,1,1
10913,1,1,1
10387,1,1,1
10395,1,1,1
10871,1,1,1
10658,1,1,1
10270,1,1,1
10465,1,1,1
10816,1,1,1
10747,1,1,1
10939,1,1,1
11000,1,1,1
10815,1,1,1
10948,1,1,1
10436,1,1,1
11071,1,1,1
10720,1,1,1
10794,1,1,1
10977,1,1,1
11012,1,1,1
10266,1,1,1
10893,1,1,1
10634,1,1,1
10250,1,1,1
10639,1,1,1
10863,1,1,1
10907,1,1,1
10820,1,1,1
11030,1,1,1
10961,1,1,1
11066,1,1,1
10513,1,1,1
10269,1,1,1
10330,1,1,1
10702,1,1,1
10511,1,1,1
10299,1,1,1
10986,1,1,1
10649,1,1,1
10556,1,1,1
10836,1,1,1
10737,1,1,1
10738,1,1,1
10726,1,1,1
10941,1,1,1
10792,1,1,1
10485,1,1,1
10374,1,1,1
10831,1,1,1
10819,1,1,1
10719,1,1,1
10425,1,1,1
10704,1,1,1
10980,1,1,1
10814,1,1,1
10445,1,1,1
10251,1,1,1
11035,1,1,1
10867,1,1,1
10469,1,1,1
10443,1,1,1
10257,1,1,1
10474,1,1,1
10479,1,1,1
10359,1,1,1
10260,1,1,1
10525,1,1,1
10540,1,1,1
10934,1,1,1
11061,1,1,1
10711,1,1,1
10517,1,1,1
10981,1,1,1
10311,1,1,1
10709,1,1,1
10990,1,1,1
11050,1,1,1
10882,1,1,1
10592,1,1,1
10924,1,1,1
10793,1,1,1
10783,1,1,1
10759,1,1,1
10261,1,1,1
10585,1,1,1
10896,1,1,1
11074,1,1,1
10365,1,1,1
10626,1,1,1
10518,1,1,1
10560,1,1,1
10770,1,1,1
10870,1,1,1
10845,1,1,1
10440,1,1,1
10942,1,1,1
10559,1,1,1
10422,1,1,1
10677,1,1,1
10889,1,1,1
10833,1,1,1
10739,1,1,1
10875,1,1,1
10964,1,1,1
10310,1,1,1
10849,1,1,1
10670,1,1,1
10753,1,1,1
10650,1,1,1
10791,1,1,1
10674,1,1,1
11051,1,1,1
10699,1,1,1
10943,1,1,1
10834,1,1,1
10496,1,1,1
10905,1,1,1
10771,1,1,1
10722,1,1,1
10979,1,1,1
10478,1,1,1
10837,1,1,1
10277,1,1,1
10937,1,1,1
10535,1,1,1
10489,1,1,1
10642,1,1,1
11013,1,1,1
10276,1,1,1
10423,1,1,1
11076,1,1,1
10286,1,1,1
10713,1,1,1
10899,1,1,1
10629,1,1,1
11042,1,1,1
10562,1,1,1
11068,1,1,1
10735,1,1,1
10492,1,1,1
10912,1,1,1
10798,1,1,1
10397,1,1,1
10386,1,1,1
10935,1,1,1
10743,1,1,1
10432,1,1,1
10566,1,1,1
10989,1,1,1
10662,1,1,1
10416,1,1,1
10370,1,1,1
10351,1,1,1
10619,1,1,1
10488,1,1,1
10782,1,1,1
10482,1,1,1
10767,1,1,1
10651,1,1,1
10523,1,1,1
10312,1,1,1
10917,1,1,1
10969,1,1,1
10799,1,1,1
10296,1,1,1
10915,1,1,1
10543,1,1,1
10520,1,1,1
10994,1,1,1
10462,1,1,1
10368,1,1,1
10363,1,1,1
10577,1,1,1
10586,1,1,1
10378,1,1,1
10486,1,1,1
10686,1,1,1
10763,1,1,1
10993,1,1,1
10505,1,1,1
10429,1,1,1
10417,1,1,1
10681,1,1,1
10730,1,1,1
10519,1,1,1
11004,1,1,1
10576,1,1,1
10472,1,1,1
11032,1,1,1
10275,1,1,1
10292,1,1,1
10362,1,1,1
10914,1,1,1
10396,1,1,1
11009,1,1,1
11010,1,1,1
10608,1,1,1
10693,1,1,1
10383,1,1,1
10866,1,1,1
10828,1,1,1
10765,1,1,1
10966,1,1,1
10622,1,1,1
10675,1,1,1
10254,1,1,1
10728,1,1,1
10506,1,1,1
10918,1,1,1
10688,1,1,1
10418,1,1,1
10597,1,1,1
10827,1,1,1
10754,1,1,1
10956,1,1,1
10344,1,1,1
10450,1,1,1
10897,1,1,1
10838,1,1,1
10640,1,1,1
11021,1,1,1
10802,1,1,1
10697,1,1,1
10843,1,1,1
10389,1,1,1
10438,1,1,1
10847,1,1,1
10294,1,1,1
10949,1,1,1
10682,1,1,1
10624,1,1,1
10290,1,1,1
10617,1,1,1
10832,1,1,1
10263,1,1,1
10442,1,1,1
10844,1,1,1
10781,1,1,1
10265,1,1,1
11018,1,1,1
10959,1,1,1
10279,1,1,1
10500,1,1,1
10946,1,1,1
11022,1,1,1
10400,1,1,1
10481,1,1,1
10375,1,1,1
10272,1,1,1
10808,1,1,1
10995,1,1,1
10317,1,1,1
10494,1,1,1
10700,1,1,1
10701,1,1,1
10656,1,1,1
10280,1,1,1
10916,1,1,1
10475,1,1,1
10736,1,1,1
10922,1,1,1
10951,1,1,1
10497,1,1,1
10285,1,1,1
10573,1,1,1
10971,1,1,1
10665,1,1,1
10762,1,1,1
10985,1,1,1
10633,1,1,1
10480,1,1,1
10760,1,1,1
11034,1,1,1
10861,1,1,1
10584,1,1,1
10669,1,1,1
10672,1,1,1
10430,1,1,1
10927,1,1,1
11063,1,1,1
10283,1,1,1
10249,1,1,1
10484,1,1,1
10402,1,1,1
10876,1,1,1
10856,1,1,1
10306,1,1,1
10859,1,1,1
10932,1,1,1
11011,1,1,1
10385,1,1,1
10268,1,1,1
10883,1,1,1
10594,1,1,1
10319,1,1,1
10860,1,1,1
10764,1,1,1
10356,1,1,1
10581,1,1,1
10558,1,1,1
10345,1,1,1
10435,1,1,1
10891,1,1,1
10315,1,1,1
11040,1,1,1
10364,1,1,1
10453,1,1,1
10338,1,1,1
10334,1,1,1
10673,1,1,1
10957,1,1,1
10574,1,1,1
10598,1,1,1
10371,1,1,1
10676,1,1,1
10352,1,1,1
10773,1,1,1
10666,1,1,1
10790,1,1,1
10604,1,1,1
10664,1,1,1
10534,1,1,1
10973,1,1,1
10398,1,1,1
10872,1,1,1
11055,1,1,1
10854,1,1,1
10342,1,1,1
10476,1,1,1
10495,1,1,1
11045,1,1,1
10508,1,1,1
10806,1,1,1
10877,1,1,1
10434,1,1,1
10974,1,1,1
11025,1,1,1
10331,1,1,1
10421,1,1,1
10809,1,1,1
10471,1,1,1
11031,1,1,1
10379,1,1,1
10502,1,1,1
10526,1,1,1
10821,1,1,1
10963,1,1,1
10881,1,1,1
10780,1,1,1
10360,1,1,1
10284,1,1,1
10848,1,1,1
10968,1,1,1
10529,1,1,1
11062,1,1,1
11064,1,1,1
11037,1,1,1
10614,1,1,1
10685,1,1,1
10890,1,1,1
10869,1,1,1
10991,1,1,1
10409,1,1,1
10391,1,1,1
10587,1,1,1
10393,1,1,1
10570,1,1,1
10885,1,1,1
10454,1,1,1
11056,1,1,1
10332,1,1,1
10414,1,1,1
10607,1,1,1
10910,1,1,1
10522,1,1,1
10354,1,1,1
10567,1,1,1
10933,1,1,1
10920,1,1,1
10996,1,1,1
10563,1,1,1
10380,1,1,1
10602,1,1,1
11002,1,1,1
10278,1,1,1
10812,1,1,1
10326,1,1,1
10716,1,1,1
10407,1,1,1
10318,1,1,1
10615,1,1,1
10714,1,1,1
10777,1,1,1
10427,1,1,1
10868,1,1,1
10394,1,1,1
10536,1,1,1
10477,1,1,1
10944,1,1,1
10648,1,1,1
10542,1,1,1
10557,1,1,1
10323,1,1,1
10405,1,1,1
10457,1,1,1
10707,1,1,1
10894,1,1,1
10691,1,1,1
10426,1,1,1
10466,1,1,1
10772,1,1,1
10569,1,1,1
10538,1,1,1
10324,1,1,1
10376,1,1,1
10729,1,1,1
10514,1,1,1
11054,1,1,1
10906,1,1,1
10377,1,1,1
10878,1,1,1
10350,1,1,1
10888,1,1,1
10972,1,1,1
10499,1,1,1
10320,1,1,1
10850,1,1,1
10756,1,1,1
10583,1,1,1
10399,1,1,1
10858,1,1,1
10447,1,1,1
10960,1,1,1
10588,1,1,1
11019,1,1,1
10437,1,1,1
10703,1,1,1
11008,1,1,1
10568,1,1,1
10343,1,1,1
10329,1,1,1
10900,1,1,1
10852,1,1,1
10504,1,1,1
11003,1,1,1
10325,1,1,1
10322,1,1,1
10369,1,1,1
10353,1,1,1
10997,1,1,1
10705,1,1,1
10366,1,1,1
11038,1,1,1
11053,1,1,1
10904,1,1,1
11057,1,1,1
10460,1,1,1
10274,1,1,1
11067,1,1,1
10620,1,1,1
10301,1,1,1
10696,1,1,1
10335,1,1,1
10336,1,1,1
10813,1,1,1
10745,1,1,1
10801,1,1,1
10575,1,1,1
10259,1,1,1
francisco,1,1,1
10733,1,1,1
10553,1,1,1
10929,1,1,1
10531,1,1,1
10775,1,1,1
10610,1,1,1
10555,1,1,1
10579,1,1,1
10327,1,1,1
10295,1,1,1
10302,1,1,1
10498,1,1,1
10439,1,1,1
10532,1,1,1
10797,1,1,1
11043,1,1,1
10413,1,1,1
10493,1,1,1
10785,1,1,1
10441,1,1,1
10328,1,1,1
10565,1,1,1
10631,1,1,1
10415,1,1,1
10357,1,1,1
10671,1,1,1
10599,1,1,1
11024,1,1,1
10262,1,1,1
10800,1,1,1
10381,1,1,1
10638,1,1,1
10451,1,1,1
10509,1,1,1
10305,1,1,1
11014,1,1,1
10339,1,1,1
11029,1,1,1
10976,1,1,1
10923,1,1,1
10636,1,1,1
10293,1,1,1
10550,1,1,1
10774,1,1,1
10884,1,1,1
10795,1,1,1
11001,1,1,1
10611,1,1,1
10255,1,1,1
